Fecha,Tipo de Indicador,Indicador,Entidad,Valor
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. BBVA Perú,13.89
2016-04-30,SOLVENCIA,Ratio de Capital Global,BANCOM,12.14
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. De Crédito del Perú,15.0
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. Pichincha,12.09
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. Interamericano de Finanzas,12.51
2016-04-30,SOLVENCIA,Ratio de Capital Global,Scotiabank Perú,14.17
2016-04-30,SOLVENCIA,Ratio de Capital Global,Citibank,19.8
2016-04-30,SOLVENCIA,Ratio de Capital Global,Interbank,16.39
2016-04-30,SOLVENCIA,Ratio de Capital Global,Mibanco,15.76
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. GNB,12.45
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. Falabella Perú,14.73
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. Santander Perú,14.86
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. Ripley,14.96
2016-04-30,SOLVENCIA,Ratio de Capital Global,Alfin Banco,22.19
2016-04-30,SOLVENCIA,Ratio de Capital Global,B. ICBC,42.37
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. BBVA Perú,12.74
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,BANCOM,7.57
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. De Crédito del Perú,10.37
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. Pichincha,10.81
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. Interamericano de Finanzas,15.34
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,Scotiabank Perú,8.73
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,Citibank,8.4
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,Interbank,11.12
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,Mibanco,8.67
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. GNB,7.32
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. Falabella Perú,6.96
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. Santander Perú,9.21
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. Ripley,6.49
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,Alfin Banco,5.9
2016-04-30,SOLVENCIA,Pasivo Total / Capital Social y Reservas,B. ICBC,1.93
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. BBVA Perú,2.36
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,BANCOM,3.89
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. De Crédito del Perú,2.72
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. Pichincha,3.83
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. Interamericano de Finanzas,2.07
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,Scotiabank Perú,3.23
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,Citibank,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,Interbank,2.43
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,Mibanco,4.7
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. GNB,2.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. Falabella Perú,4.8
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. Santander Perú,0.64
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. Ripley,2.8
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,Alfin Banco,11.12
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados / Créditos Directos,B. ICBC,2.79
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. BBVA Perú,2.004997046213916
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,BANCOM,3.708020457597025
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. De Crédito del Perú,2.01113613941982
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Pichincha,3.1432301203799446
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Interamericano de Finanzas,1.7849188960616948
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Scotiabank Perú,2.6601636207370265
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Citibank,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Interbank,2.25538804989007
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Mibanco,2.9980137400332394
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. GNB,1.8172927076470107
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Falabella Perú,4.389228135421215
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Santander Perú,0.49761550416938916
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. Ripley,2.3571707730749676
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,Alfin Banco,9.002499710677341
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados con más de 90 días de atraso / Créditos Directos,B. ICBC,2.790948143460739
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. BBVA Perú,1.61
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,BANCOM,1.75
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. De Crédito del Perú,0.82
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Pichincha,1.76
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Interamericano de Finanzas,1.86
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Scotiabank Perú,0.6
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Citibank,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Interbank,1.09
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Mibanco,1.08
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. GNB,0.83
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Falabella Perú,1.68
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Santander Perú,0.35
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. Ripley,0.29
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,Alfin Banco,0.01
2016-04-30,CALIDAD DE ACTIVOS,Créditos Refinanciados y Reestructurados / Créditos Directos,B. ICBC,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. BBVA Perú,1.88
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,BANCOM,2.32
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. De Crédito del Perú,2.95
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. Pichincha,3.58
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. Interamericano de Finanzas,1.42
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,Scotiabank Perú,2.66
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,Citibank,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,Interbank,2.36
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,Mibanco,4.38
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. GNB,1.32
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. Falabella Perú,4.66
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. Santander Perú,0.27
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. Ripley,2.8
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,Alfin Banco,11.12
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados MN / Créditos Directos MN,B. ICBC,9.55
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. BBVA Perú,3.39
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,BANCOM,19.26
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. De Crédito del Perú,2.3
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. Pichincha,4.34
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. Interamericano de Finanzas,3.39
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,Scotiabank Perú,4.27
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,Citibank,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,Interbank,2.65
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,Mibanco,15.61
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. GNB,3.88
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. Falabella Perú,12.67
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. Santander Perú,1.09
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. Ripley,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,Alfin Banco,0.0
2016-04-30,CALIDAD DE ACTIVOS,Créditos Atrasados ME / Créditos Directos ME,B. ICBC,0.0
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. BBVA Perú,187.89
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,BANCOM,167.87
